SYMBOL,IPO_DATE,NAME,IPO_PRICE,CURRENT,RETURN,THREE_MTH_DATE,THREE_MTH_RETURN
FMAC,2020-10-06,FirstMark Horizon Acquisition,10.0,10.47,0.047,2021-01-06,10.75
APSG,2020-10-02,Apollo Strategic Growth Capital,10.0,10.12,0.012,2021-01-02,0
IMNM,2020-10-02,Immunome,12.0,30.29,1.5242,2021-01-02,0
AVAN,2020-10-02,Avanti Acquisition,10.0,10.0,0.0,2021-01-02,0
ASAQ,2020-10-02,Atlantic Street Acquisition,10.0,9.86,-0.013999999999999999,2021-01-02,0
IACA,2020-10-02,ION Acquisition Corp 1,10.0,10.84,0.084,2021-01-02,0
SEAH,2020-10-02,Sports Entertainment Acquisition,10.0,9.99,-0.001,2021-01-02,0
ASO,2020-10-02,Academy Sports and Outdoors,13.0,25.16,0.9354,2021-01-02,0
ONCR,2020-10-02,Oncorus,15.0,16.38,0.092,2021-01-02,0
CCCC,2020-10-02,C4 Therapeutics,19.0,43.73,1.3016,2021-01-02,0
VGAC,2020-10-02,VG Acquisition,10.0,10.5,0.05,2021-01-02,0
VYGG,2020-10-02,Vy Global Growth,10.0,10.59,0.059000000000000004,2021-01-02,0
IMPX,2020-10-01,AEA-Bridges Impact Corp,10.0,9.91,-0.009000000000000001,2021-01-01,0
LXEH,2020-10-01,Lixiang Education,9.25,9.0,-0.027000000000000003,2021-01-01,0
THRY,2020-10-01,Thryv Holdings,10.17,19.0,0.8682,2021-01-01,0
AGC,2020-10-01,Altimeter Growth Corp.,10.0,12.85,0.285,2021-01-01,0
AVO,2020-10-01,Mission Produce,12.0,20.51,0.7092,2021-01-01,0
IGAC,2020-10-01,IG Acquisition,10.0,9.95,-0.005,2021-01-01,0
LUNG,2020-10-01,Pulmonx,19.0,59.85,2.15,2021-01-01,0
RCHG,2020-10-01,Recharge Acquisition,10.0,9.93,-0.006999999999999999,2021-01-01,0
BQ,2020-09-30,Boqii Holding,10.0,6.09,-0.391,2020-12-30,5.08
VSPR,2020-09-30,Vesper Healthcare Acquisition,10.0,11.22,0.122,2020-12-30,11.36
PLTR,2020-09-30,Palantir,7.25,25.21,2.4772,2020-12-30,25.1
QELL,2020-09-30,Qell Acquisition,10.0,10.4,0.04,2020-12-30,12.42
CD,2020-09-30,Chindata Group,13.5,18.85,0.3963,2020-12-30,20.3
ASAN,2020-09-30,Asana,21.0,33.03,0.5729,2020-12-30,29.12
YALA,2020-09-30,Yalla Group,7.5,28.2,2.76,2020-12-30,15.25
CLII,2020-09-30,Climate Change Crisis Real Impact I,10.0,12.68,0.268,2020-12-30,10.74
FGNA,2020-09-30,FG New America Acquisition,10.0,10.15,0.015,2020-12-30,10.19
ORPH,2020-09-29,Orphazyme,11.0,12.7,0.1545,2020-12-29,11.22
AMST,2020-09-25,Amesite,5.0,5.26,0.052000000000000005,2020-12-25,0
FTIV,2020-09-25,FinTech Acquisition IV,10.0,11.14,0.114,2020-12-25,0
VACQ,2020-09-25,Vector Acquisition,10.0,11.99,0.19899999999999998,2020-12-25,0
SYTA,2020-09-25,Siyata Mobile,7.25,9.22,0.2717,2020-12-25,0
PRLD,2020-09-25,Prelude Therapeutics,19.0,56.32,1.9642,2020-12-25,0
GLSI,2020-09-25,Greenwich LifeSciences,5.75,29.4,4.113,2020-12-25,0
PMVP,2020-09-25,PMV Pharmaceuticals,18.0,39.95,1.2194,2020-12-25,0
GRAY,2020-09-25,Graybug Vision,16.0,7.82,-0.5113,2020-12-25,0
VIAO,2020-09-25,VIA optronics AG,15.0,13.2,-0.12,2020-12-25,0
TSHA,2020-09-24,Taysha Gene Therapies,20.0,24.67,0.2335,2020-12-24,27.2
PDAC,2020-09-24,Peridot Acquisition,10.0,10.76,0.076,2020-12-24,10.25
ACTC,2020-09-23,ArcLight Clean Transition,10.0,18.25,0.825,2020-12-23,11.0
CRSR,2020-09-23,Corsair Gaming,17.0,34.25,1.0147,2020-12-23,38.83
VIH,2020-09-23,VPC Impact Acquisition,10.0,15.07,0.507,2020-12-23,10.2111
GDRX,2020-09-23,GoodRx Holdings,33.0,37.42,0.1339,2020-12-23,47.59
LSF,2020-09-23,Laird Superfood,22.0,36.37,0.6532,2020-12-23,55.79
ASPL,2020-09-23,Aspirational Consumer Lifestyle Corp.,10.0,10.37,0.037000000000000005,2020-12-23,9.99
BSY,2020-09-23,Bentley Systems,22.0,43.86,0.9936,2020-12-23,39.48
FCAC,2020-09-22,Falcon Capital Acquisition,10.0,10.21,0.021,2020-12-22,10.5
PMVC,2020-09-22,PMV Consumer Acquisition,10.0,9.88,-0.012,2020-12-22,10.03
CMPS,2020-09-18,COMPASS Pathways,17.0,42.76,1.5153,2020-12-18,56.99
AHAC,2020-09-18,Alpha Healthcare Acquisition,10.0,10.88,0.08800000000000001,2020-12-18,9.95
U,2020-09-18,Unity Software,52.0,108.98,1.0958,2020-12-18,157.77
VTRU,2020-09-18,Vitru,16.0,14.7,-0.0813,2020-12-18,14.73
ATHA,2020-09-18,Athira Pharma,17.0,20.66,0.2153,2020-12-18,30.94
NMMC,2020-09-18,North Mountain Merger,10.0,10.15,0.015,2020-12-18,10.5
STWO,2020-09-17,ACON S2 Acquisition,10.0,9.98,-0.002,2020-12-17,10.3
DYN,2020-09-17,Dyne Therapeutics,19.0,16.57,-0.1279,2020-12-17,20.24
AMWL,2020-09-17,Amwell,18.0,21.04,0.1689,2020-12-17,28.34
SUMO,2020-09-17,Sumo Logic,22.0,21.0,-0.0455,2020-12-17,29.39
OACB,2020-09-17,Oaktree Acquisition II,10.0,10.24,0.024,2020-12-17,10.35
PTVE,2020-09-17,Pactiv Evergreen,14.0,16.82,0.2014,2020-12-17,17.46
RTP,2020-09-17,Reinvent Technology Partners,10.0,10.93,0.09300000000000001,2020-12-17,11.12
BNL,2020-09-17,Broadstone Net Lease,17.0,18.35,0.0794,2020-12-17,19.77
EQD,2020-09-16,Equity Distribution Acquisition,10.0,10.03,0.003,2020-12-16,10.24
STEP,2020-09-16,StepStone Group,18.0,30.96,0.72,2020-12-16,32.22
SNOW,2020-09-16,Snowflake,120.0,230.3,0.9192,2020-12-16,329.97
ENPC,2020-09-16,Executive Network Partnering,25.0,24.4,-0.024,2020-12-16,24.745
MTCR,2020-09-16,Metacrine,13.0,8.04,-0.3815,2020-12-16,9.81
FROG,2020-09-16,JFrog,44.0,47.55,0.0807,2020-12-16,63.2
SBG,2020-09-15,Sandbridge Acquisition,10.0,9.97,-0.003,2020-12-15,9.89
OM,2020-09-15,Outset Medical,27.0,48.78,0.8067,2020-12-15,51.99
SAII,2020-09-15,Software Acquisition Group II,10.0,10.68,0.068,2020-12-15,9.91
SNPR,2020-09-11,Tortoise Acquisition II,10.0,10.91,0.091,2020-12-11,11.0
TWCT,2020-09-11,TWC Tech Holdings II,10.0,10.0,0.0,2020-12-11,10.33
LEAP,2020-09-11,Ribbit LEAP,10.0,12.74,0.27399999999999997,2020-12-11,13.33
LSPD,2020-09-11,Lightspeed POS,30.5,68.72,1.2531,2020-12-11,59.07
BSN,2020-09-11,Broadstone Acquisition,10.0,9.89,-0.011000000000000001,2020-12-11,9.89
SVAC,2020-09-10,Starboard Value Acquisition,10.0,10.1,0.01,2020-12-10,10.08
PIAI,2020-09-10,Prime Impact Acquisition I,10.0,9.96,-0.004,2020-12-10,9.9
NSH,2020-09-10,NavSight Holdings,10.0,10.3,0.03,2020-12-10,9.87
CRHC,2020-09-09,Cohn Robbins Holdings,10.0,10.24,0.024,2020-12-09,10.01
ITAC,2020-09-09,Industrial Tech Acquisitions,10.0,9.98,-0.002,2020-12-09,9.99
TWND,2020-09-04,Tailwind Acquisition,10.0,10.2,0.02,2020-12-04,9.91
CAPA,2020-09-04,HighCape Capital Acquisition,10.0,13.08,0.308,2020-12-04,11.5
INAQ,2020-09-03,INSU Acquisition II,10.0,18.0,0.8,2020-12-03,12.35
BCTG,2020-09-03,BCTG Acquisition,10.0,11.15,0.115,2020-12-03,10.972999999999999
CMLF,2020-09-02,CM Life Sciences,10.0,16.65,0.665,2020-12-02,10.6662
PRFX,2020-09-01,PainReform,8.0,5.67,-0.2913,2020-12-01,4.58
AUVI,2020-08-31,Applied UV,5.0,9.29,0.858,2020-11-30,5.18
HCDI,2020-08-28,Harbor Custom Development,6.0,3.5,-0.4167,2020-11-28,0
GP,2020-08-28,GreenPower Motor,20.0,27.41,0.3705,2020-11-28,0
XPEV,2020-08-27,XPeng,15.0,36.12,1.4080000000000001,2020-11-27,64.28
BTAQ,2020-08-27,Burgundy Technology Acquisition,10.0,10.06,0.006,2020-11-27,9.85
CFII,2020-08-27,CF Finance Acquisition II,10.0,9.19,-0.081,2020-11-27,10.01
FTOC,2020-08-26,FTAC Olympus Acquisition,10.0,11.59,0.159,2020-11-26,0
CLA,2020-08-21,Colonnade Acquisition,10.0,12.0,0.2,2020-11-21,0
FST,2020-08-21,Fast Acquisition,10.0,12.73,0.273,2020-11-21,0
KYMR,2020-08-21,Kymera Therapeutics,20.0,57.43,1.8715,2020-11-21,0
HZAC,2020-08-21,Horizon Acquisition,10.0,10.16,0.016,2020-11-21,0
NNOX,2020-08-21,Nano-X Imaging,18.0,48.79,1.7106,2020-11-21,0
HRMY,2020-08-19,Harmony Biosciences,24.0,30.77,0.2821,2020-11-19,42.53
INBX,2020-08-19,Inhibrx,17.0,23.55,0.3853,2020-11-19,23.64
BFT,2020-08-19,Foley Trasimene Acquisition II,10.0,16.0,0.6,2020-11-19,10.37
STPK,2020-08-18,Star Peak Energy Transition,10.0,31.99,2.199,2020-11-18,9.74
FIII,2020-08-18,Forum Merger III,10.0,10.26,0.026000000000000002,2020-11-18,9.8
AONE,2020-08-18,One,10.0,12.35,0.235,2020-11-18,10.18
