symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
AVTR,6/30/2019,USD,491100000,1532400000,1041300000,1041300000,119100000,372000000,0,1413300000,0,-115100000,-100800000,115100000,0,15600000,0,103000000,-50600000,-1900000,0,-48700000,-37300000,119100000,222100000,-48700000
AVXS,12/31/2015,USD,0,0,0,0,0,13160000,8738000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYLA,3/31/2020,USD,0,1001000,1001000,1001000,-6439000,1311000,5128000,7440000,0,-38000,-38000,0,0,0,53000,0,-6477000,121000,0,-6598000,0,-6439000,0,-6598000
AYX,3/31/2017,USD,23719000,28545000,4826000,4826000,-5614000,23311000,6022000,29333000,0,0,0,0,0,97000,0,566000,-5517000,150000,0,-5667000,-5726000,-5614000,-5048000,-5667000
AZEK,6/30/2020,USD,75123000,223711000,148588000,148588000,7970000,65164000,1700000,65164,0,-25148000,0,25148000,0,0,12700000,0,-54716000,-2600000,0,-52116000,-52116000,7970000,0,-52116000
AZRE,9/30/2016,USD,777972000,13652000,5064000,5064000,4836000,6981000,0,580339000,0,0,0,8900000,0,0,0,0,11793000,-52323000,0,10041000,0,296719000,0,-216322000
AZUL,3/31/2017,USD,492466000,592448000,471226000,471226000,63139000,33866000,0,1674096000,0,0,0,44058000,0,0,0,0,19128000,1644000,0,55297000,0,199697000,0,17484000
BALT,3/31/2010,USD,0,0,0,0,0,484000,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,0,0,0,0
BAND,9/30/2017,USD,18767000,41338000,22571000,22571000,3071000,12925000,2771000,15696000,0,0,0,402000,0,-538000,1241000,0,2533000,899000,0,1634000,1634000,3071000,0,1634000
BATS,3/31/2016,USD,0,510900000,399100000,399100000,64500000,36900000,0,0,0,0,0,11500000,0,0,0,0,51100000,21000000,0,0,0,0,0,30100000
BCACU,6/30/2017,USD,0,0,0,0,-20841,20841,0,20841,0,0,0,0,0,0,0,0,-31682,0,0,-31682,0,-20841,0,-31682
BCYC,6/30/2019,USD,-5015000,1522000,6537000,6537000,-7988000,2973000,6537000,9510000,0,90000,90000,0,0,0,0,0,-10082000,135000,0,-10217000,0,-7758000,0,-10217000
BDTX,12/31/2019,USD,0,0,0,0,-10344000,2884000,7460000,10344000,0,440000,440000,0,0,0,0,0,-9875000,0,0,-9875000,0,-3940000,0,-9875000
